"";"code_muni";"territorialidades";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"80";4215356;"saltinho";25,3;31,68;97,86;94,65;1;0;13,98;1987;0,49;11396,2888697696;17,1;0,654;0,5;95,39;2121,47795253724;1,94319616258521;2,54329714718505;3,79045695531431
"81";4215554;"santa helena";29,41;37,03;99,7;89,61;1;0;9,82;1601;0,82;13411,8119045787;13,6;0,727;0,38;98,31;3147,4908900084;3,17212426532326;1,89378673383711;4,44080604534005
"82";4215687;"santa terezinha do progresso";24,34;18,61;99,9;92,63;1;0;13,18;1543;0,82;10240,6576876502;17,5;0,682;0,56;98,6;2698,08897444751;1,61325966850829;0,478591160220994;4,88017955801105
"83";4215695;"santiago do sul";19,91;44,37;100;97,22;1;0;11,41;769;0,82;18547,3799190317;15,5;0,728;0,46;100;4893,10972013652;3,41296928327645;5,93993174061433;4,54607508532423
"84";4215752;"sao bernardino";18,47;26,86;98,64;81,85;1;0;11,57;1343;NA;25250,9346357704;14,5;0,677;0,45;89,63;3186,54334329473;7,3126634292118;7,13447889428465;5,13186402689578
"85";4216008;"sao carlos";64,73;67,07;99,52;93,09;9;65;4,71;6239;1,94;19106,5725376357;10,9;0,769;0,46;98,44;2385,13947526965;6,38052667379263;4,54756583422408;3,93129919347002
"86";4216107;"sao domingos";24,74;66,52;99,81;90,96;8;0;9,27;5071;2,76;18940,845757701;11,4;0,765;0,58;92,32;1829,73113792013;7,08997998103466;3,36466125803393;4,52955431461384
"87";4216255;"sao joao do oeste";36,88;35,11;100;91,84;2;33;1,05;4027;0,88;17374,9402584546;10,5;0,761;0,4;98,43;2075,05043571902;5,46703114645461;2,35603048376408;5,54307488402916
"88";4216701;"sao jose do cedro";48,94;61,73;99,49;97,42;6;29;6;7781;2,19;17525,1632439416;13,9;0,731;0,48;92,87;1588,91669833382;7,27550423852675;3,50511546331482;2,60128617363344
"89";4216909;"sao lourenco do oeste";60,24;77,46;99,79;94,35;18;61;6,7;12516;1,64;20713,3307591572;15,9;0,749;0,46;95,62;1777,78454662261;8,16437224669603;4,74967878120411;2,03170888399413
