"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"91";4217204;"sao miguel do oeste";84,74;98,99;79,91;31;178;7,19;16249;7,16;5255,59027159548;15,4;0,705;0,51;93,02;1404,97368490636;3,88488429649796;2,02790496225715;0,337953223610939
"92";4217303;"saudades";34,8;98,2;89,68;4;39;5,21;4567;1,08;8154,7467696015;18,8;0,635;0,5;93,67;2087,85516450718;2,44233541566555;3,06234983181163;1,96047573282076
"93";4217501;"seara";62,26;98,26;90,51;14;35;7,36;8470;5,42;14613,1026293821;14,8;0,663;0,5;95,1;2223,9991584712;3,83323222518806;8,04980587236108;1,36653724824072
"94";4217550;"serra alta";36,07;97,18;82,17;1;NA;9,9;1667;1,76;3969,96213564574;20,6;0,612;0,43;99,5;2882,25417973027;1,88558558558559;0,506006006006006;1,44474474474474
"95";4217758;"sul brasil";23,88;90,86;83,63;1;NA;12,65;1488;0,7;3791,96222327863;23,1;0,55;0,55;62,45;2968,53144384127;1,48812580231065;0,202182284980745;1,83504492939666
"96";4217956;"tigrinhos";11,34;96,7;83,03;1;NA;13,88;1112;NA;4444,99626592517;25,8;0,538;0,43;NA;4232,38511156396;1,62353567625133;0,19062832800852;2,46166134185304
"97";4218509;"treze tilias";60,06;97,51;96,99;3;18;6,8;2407;3,51;12961,8988146738;19,5;0,668;0,55;100;3108,68610136616;3,86301652892562;7,8004132231405;1,46528925619835
"98";4218756;"tunapolis";25,48;99,22;95,08;3;27;3,04;2525;1,49;4972,40777846362;19,1;0,637;0,49;96,74;2396,50823873331;1,86183797362361;0,547833368222734;2,24241155536948
"99";4218855;"uniao do oeste";34,27;94,56;88,46;1;NA;12,58;1757;3,02;5558,10365300583;29,7;0,608;0,57;92,42;2881,25238433656;1,78708345620761;0,298731937481569;1,62724859923326
"100";4219101;"vargeao";39,14;93,79;90,92;2;5;10,75;1646;3,18;5691,19694672824;24,5;0,64;0,62;98,42;2963,79946660034;2,57827566647759;1,36982416335791;1,81338627339762
"101";4219150;"vargem";20,19;89,32;86,89;1;NA;11,62;1358;4,11;3692,09823446602;25;0,531;0,55;95,33;2711,1015399361;1,50046511627907;0,393178294573643;1,84248062015504
"102";4219176;"vargem bonita";44,47;98,75;94,19;8;22;9,17;2056;5,63;12955,1735110458;25;0,596;0,49;99,26;3185,5069813438;3,22431174873982;5,92729740209383;1,47731678945328
"103";4219507;"xanxere";86,52;97,68;95,41;19;175;8,24;17648;10,78;5891,5997654646;20,3;0,674;0,54;96,66;1628,87728239284;4,32178257500868;1,99703438510246;0,728980202516765
"104";4219606;"xavantina";21,48;98,55;88,07;5;28;9,32;2468;1,59;11973,6755515431;17,3;0,653;0,46;98,29;2958,95722944787;2,17257039055404;0,31653042688465;2,84423251589464
"105";4219705;"xaxim";70,25;97,09;92,79;11;47;9,56;11200;8,06;8748,69274345919;22,4;0,652;0,58;98,7;2076,43117675268;4,36579603622523;3,61184757404734;0,90484315526972
"106";4219853;"zortea";77,97;96,77;97,84;1;NA;7,67;1079;3,57;4459,78189564271;14,4;0,586;0,42;99,12;4149,83725633832;1,96885681731865;0,405241169768325;2,09115077857957
