code_muni;territorialidades;densidade_demografica;percent_pop_urbana;percent_domc_energia_eletrica;perc_domc_abstecimento_agua;num_estab_saude;num_leitos_estab_saude;taxa_analfabetismo;pop_economicamente_ativa;taxa_desocupacao;pib_percapta;vab_servicos;vab_industria;vab_agropecuaria;taxa_mortalidade_infantil;idhm;ig;perc_coleta_lixo
4215687;santa terezinha do progresso;24,34;18,61;99,90;92,63;1;0;13,18;1543;0,82;10240,65768765020;4672;1386;14133;17,5;0,682;0,56;98,60
4215695;santiago do sul;19,91;44,37;100,00;97,22;1;0;11,41;769;0,82;18547,37991903170;5000;8702;6660;15,5;0,728;0,46;100,00
4215752;sao bernardino;18,47;26,86;98,64;81,85;1;0;11,57;1343;NA;25250,93463577040;19576;19099;13738;14,5;0,677;0,45;89,63
4216008;sao carlos;64,73;67,07;99,52;93,09;9;65;4,71;6239;1,94;19106,57253763570;65662;46799;40457;10,9;0,769;0,46;98,44
4216107;sao domingos;24,74;66,52;99,81;90,96;8;0;9,27;5071;2,76;18940,84575770100;67291;31934;42990;11,4;0,765;0,58;92,32
4216255;sao joao do oeste;36,88;35,11;100,00;91,84;2;33;1,05;4027;0,88;17374,94025845460;32999;14221;33458;10,5;0,761;0,40;98,43
4216701;sao jose do cedro;48,94;61,73;99,49;97,42;6;29;6,00;7781;2,19;17525,16324394160;99558;47964;35596;13,9;0,731;0,48;92,87
4216909;sao lourenco do oeste;60,24;77,46;99,79;94,35;18;61;6,70;12516;1,64;20713,33075915720;177918;103505;44275;15,9;0,749;0,46;95,62
4217154;sao miguel da boa vista;26,47;23,06;99,10;97,11;1;0;11,08;1201;0,74;11655,67756857200;6160;780;7215;17,1;0,710;0,50;96,55
4217204;sao miguel do oeste;154,89;88,32;99,85;91,87;41;76;4,64;21700;3,87;24867,09938163160;446887;231696;29019;9,7;0,801;0,50;99,17
4217303;saudades;43,86;56,82;100,00;87,78;3;34;4,42;5661;0,97;21126,34962958170;45687;66427;31708;12,2;0,755;0,33;98,82
4217501;seara;54,19;68,41;99,85;88,30;18;45;5,20;10499;1,35;28010,86880276460;170993;122119;82767;10,5;0,779;0,51;99,56
4217550;serra alta;36,32;55,86;99,75;95,42;1;0;6,14;1998;0,81;23665,54783858230;25331;23326;11502;10,1;0,773;0,41;97,03
4217758;sul brasil;24,54;36,55;100,00;94,36;1;0;13,49;1600;0,65;25189,20001485150;17377;24374;12813;13,7;0,707;0,45;94,79
4217956;tigrinhos;30,59;19,52;98,98;98,28;1;0;10,26;1018;1,96;10733,95936699000;2622;878;8254;12,5;0,717;0,41;100,00
4218509;treze tilias;34,24;74,36;100,00;89,64;2;36;4,48;3597;1,99;31407,11522268160;80363;54896;17635;10,4;0,795;0,62;99,45
4218756;tunapolis;34,86;30,61;99,68;95,85;3;38;3,89;2920;0,97;13094,62609535710;15766;3835;25459;13,9;0,752;0,41;100,00
4218855;uniao do oeste;31,27;38,04;98,71;87,30;1;0;9,81;1543;2,57;24081,55453968430;19937;18843;15933;14,5;0,705;0,37;98,73
4219101;vargeao;21,22;51,53;98,67;77,39;2;22;8,49;1756;3,23;47709,27827327420;62044;57069;16514;14,2;0,686;0,45;100,00
4219150;vargem;8,02;31,91;99,25;81,13;1;0;13,86;998;1,83;11232,63608939670;5436;2778;13612;17,5;0,629;0,50;99,22
4219176;vargem bonita;16,05;55,85;99,66;84,68;6;0;6,93;2307;3,76;47580,33656365990;34305;138131;22257;16,5;0,718;0,43;96,27
4219507;xanxere;116,88;88,70;99,17;68,94;45;162;5,62;22532;3,08;21476,44095485120;472079;265839;74742;11,3;0,775;0,48;98,54
4219606;xavantina;19,26;26,99;99,63;86,94;7;26;6,47;2728;0,32;21526,98573438720;20439;5982;50329;11,4;0,749;0,47;100,00
4219705;xaxim;87,25;81,54;99,44;94,32;18;46;5,70;14171;2,46;21109,74400006100;187324;184038;77167;10,6;0,752;0,43;98,31
4219853;zortea;15,73;78,10;99,91;96,08;1;0;7,17;1792;1,88;11569,98712243360;9022;2613;13052;9,6;0,761;0,42;99,58
